Cluster,Month,Demand
CHRTY_GRAD,1,1
CHRTY_GRAD,2,0
CHRTY_GRAD,3,0
CHRTY_GRAD,4,1
CHRTY_GRAD,5,2
CHRTY_GRAD,6,1
CHRTY_GRAD,7,1
CHRTY_GRAD,8,0
CHRTY_GRAD,9,2
CHRTY_GRAD,10,2
CHRTY_GRAD,11,1
CHRTY_GRAD,12,1
COMP,1,2
COMP,2,1
COMP,3,2
COMP,4,2
COMP,5,1
COMP,6,1
COMP,7,1
COMP,8,0
COMP,9,0
COMP,10,1
COMP,11,0
COMP,12,1
CON_P,1,0
CON_P,2,1
CON_P,3,1
CON_P,4,1
CON_P,5,1
CON_P,6,2
CON_P,7,1
CON_P,8,2
CON_P,9,2
CON_P,10,1
CON_P,11,0
CON_P,12,0
CONF_GAM,1,1
CONF_GAM,2,1
CONF_GAM,3,0
CONF_GAM,4,1
CONF_GAM,5,0
CONF_GAM,6,0
CONF_GAM,7,1
CONF_GAM,8,1
CONF_GAM,9,2
CONF_GAM,10,2
CONF_GAM,11,1
CONF_GAM,12,2
CONV,1,1
CONV,2,2
CONV,3,2
CONV,4,1
CONV,5,2
CONV,6,1
CONV,7,1
CONV,8,0
CONV,9,0
CONV,10,2
CONV,11,1
CONV,12,0
FILM_AWC,1,0
FILM_AWC,2,0
FILM_AWC,3,0
FILM_AWC,4,1
FILM_AWC,5,1
FILM_AWC,6,2
FILM_AWC,7,1
FILM_AWC,8,1
FILM_AWC,9,1
FILM_AWC,10,2
FILM_AWC,11,2
FILM_AWC,12,1
ME_OTH,1,1
ME_OTH,2,1
ME_OTH,3,2
ME_OTH,4,1
ME_OTH,5,1
ME_OTH,6,1
ME_OTH,7,0
ME_OTH,8,1
ME_OTH,9,2
ME_OTH,10,1
ME_OTH,11,2
ME_OTH,12,0
MEET,1,1
MEET,2,1
MEET,3,2
MEET,4,0
MEET,5,1
MEET,6,2
MEET,7,1
MEET,8,0
MEET,9,2
MEET,10,1
MEET,11,2
MEET,12,0
PUB,1,1
PUB,2,1
PUB,3,2
PUB,4,0
PUB,5,1
PUB,6,1
PUB,7,2
PUB,8,1
PUB,9,0
PUB,10,1
PUB,11,2
PUB,12,1
SMALL,1,1
SMALL,2,0
SMALL,3,1
SMALL,4,1
SMALL,5,1
SMALL,6,2
SMALL,7,1
SMALL,8,0
SMALL,9,2
SMALL,10,2
SMALL,11,1
SMALL,12,2
